Name,Date,Rating,Review
"
                    
                    
                ","Mar 8, 2021",0,"
                        Quite like a South Park episode, Sacha Baron Cohen digs in immediate news stories for the material of the sequel of his 2006 classic. It won't be as relevant in a few years, but it's still funny.
                    "
"
                    
                    
                ","Mar 7, 2021",0,"
                        Actually, it's zero stars. Stupid, ugly, disgusting, dirty, revolting movie. As is Borat in this role.
                    "
"
                    
                        
                            
                                Ethan T
                            
                        
                    
                    
                ","Mar 6, 2021",0,"
                        More political for sure, but in some cases this is the strength of this film in comparison to its predecessor. SBC has had a mixed career for sure, but this sees him return to some of his best form without perhaps taking the world by storm quite as much as Borat did.
                    "
"
                    
                    
                ","Mar 6, 2021",0,"
                        Overall pretty bad. Like most sequels, they tried to recycle too much content from the first. Most of the skits fell flat 
                    "
"
                    
                    
                ","Mar 3, 2021",0,"
                        As hilarious as it is, people often miss the message. It's a political satire, where Sacha Baron Cohen reveals people's true nature. And, it's actually structured better than most movies, which is weird, considering it's a Mockumentary.
                    "
"
                    
                    
                ","Mar 2, 2021",0,"
                        Anyone who lives in the real world knows this is a parody and full of satiric humor about real life. Many people will be threatened by it, but it's about truth.  Look around.
                    "
"
                    
                    
                ","Mar 2, 2021",0,"
                        Disgusting. I cannot believe it beat Hamilton in Golden Globes.
                    "
"
                    
                    
                ","Mar 1, 2021",0,"
                        Truly awful film.  Seems like they forgot about the deadline and had to scrap something together in 30 minutes.  Loved the first movie but I don't think I laughed once in this version. Storyline, characters and jokes are not clever.  It seems forced and unnatural, with a political goal in mind.
                    "
"
                    
                    
                ","Mar 1, 2021",0,"
                        Another example of critics pretending to like a film via misguided virtue. Even the poor ""public"" score is too generous. Decent comics agree Sasha is lost.
                    "
"
                    
                        
                            
                                Matthias F
                            
                        
                    
                    
                ","Feb 23, 2021",0,"
                        I agree that this subsequent moviefilm doesn't reach its former glory. I think it originally was meant to focus on Trump but they eventually adapted to the pandemic situation and included this topic as well, which per se made access to public figures even more difficult. It's still a movie worth watching if you like Cohan and its previous moviefilm for the glorious nation of Kazakhstan.
                    "
"
                    
                        
                            
                                brent m
                            
                        
                    
                    
                ","Feb 21, 2021",0,"
                        The outrageous, in-your-face, unexpected shock value humor that characterized this film's predecessor never really impressed me much, and that's largely true here, too. However, this long-awaited sequel has its moments of inspired comedic tastelessness that make the picture something of a modest guilty pleasure, the kind of picture you watch in private, under the covers in your bedroom, lit up by the glow of your portable video device. Some of the novelty is gone now that audiences know the formula that makes the production work, and the audacity that fueled its predecessor somehow doesn't seem quite as comically appalling in an age where we have pervasive social media posts whose sentiments are even more vile than the content presented here. But, when Sacha Baron Cohen and company hit on an inventive gag that works, it really works, in some cases generating laughs even heartier than those that came out of the first film. The biggest gem here is the addition of Maria Bakalova as the protagonist's daughter, who provides some much-needed oomph to the overall tone of the film, delivering a hilarious performance deserving of all the accolades and award nominations she has received. Still, given the state of culture and society these days, it may be time to put the Borat franchise to rest; we don't need any more fuel splashed on the fire, no matter how well-intentioned it might be as biting political commentary -- we have enough of that already, and it's not very funny any more.
                    "
"
                    
                    
                ","Feb 17, 2021",0,"
                        Sasha Baron Cohen, imprisoned for bringing shame to Kazakhstan and which is I think probably how the last movie ended, in exchange for a trip to America to restore the honor of the country. When he gets to America, he finds that his daughter has stowed away, and the two of them embark on a mission to get her married to Mike Pence (at least I think this is how the story went). Some parts of the movie were funny in illuminating issues of cultural difference and what our political system probably looks like from an outsider. However, I found the film more tedious as it went on. I never did watch the first one, and having seen this sequel, I have retained my conviction that it isn't worth losing two valuable hours of my life to watch it. While I am sure there is an audience for this kind of humor, it just really isn't my kind of movie. I give it a tenuous thumbs up, but not a tremendous endorsement. My guess is that if you liked the first one, you probably would like this one as well.
                    "
"
                    
                    
                ","Feb 16, 2021",0,"
                        Not as funny or as original as the first one. It’s stupid, but the fact they couldn’t get the capitol of Kazakhstan correct bugged me Yes, I know it’s a parody film and wasn’t filmed at all in Kazakhstan, but they could have at least gotten that detail right. Other than that it was the typical Hollywood. Republicans are racist, anti woman, anti-semite troupe that has been overdone way too much. I thought it would at least live up somewhat to the original, but like most sequels it didn’t, not even close. 
                    "
"
                    
                    
                ","Feb 14, 2021",0,"
                        Subsequent Moviefilm is a worthy sequel that is clever in how it works around Sacha Baron Cohen's own heightened fame, as well as in how it writes around real-world events. Cohen is as shocking, shameless, brave and brilliant as ever, but it's Maria Baklova, playing Borat's daughter, who steals the whole damn show. Mike Pence made a big mistake turning down a gift like that.
                    "
"
                    
                    
                ","Dec 31, 2020",0,"
                        This was an absolutely horrible movie.  It lacks any type of creativity beyond Cohen's typical shtick of making fun of poor people who show him generosity.  In typical 2020 fashion, the political minutiae of the film will have all of the ""experts"" drooling, while providing next to no comedic value.  But Cohen really doesn't care about that.  That's not what this film is for.  

Don't waste your time.  It's trash, as is Cohen.
                    "
"
                    
                    
                ","Dec 31, 2020",0,"
                        Should be titled ""Boring - Sellout mess of a movie""

No spark, hackneyed crap which will challenge your opinion of the original.

Cohen riding his Coat-tails at the expense of his fans
                    "
"
                    
                    
                ","Dec 31, 2020",0,"
                        Some good laughs for the 2nd Borat Movie.  It won't be for anyone that is offended by Trump jokes.  It's silly over-the-top antics that had me laughing pretty hard.
                    "
"
                    
                    
                ","Dec 31, 2020",0,"
                        Spent over a decade waiting for it..... Will spend the next decade trying to remove it from my memory
                    "
"
                    
                        
                            
                                Jimbo G
                            
                        
                    
                    
                ","Dec 30, 2020",0,"
                        I didn't think it was possible for Cohen to do something less funny than Borat.  He succeeded!!  He should stick to performing other people's material because he's decent when someone else is doing the writing.
                    "
"
                    
                    
                ","Dec 30, 2020",0,"
                        Borat was funny now is just dumb.
                    "
"
                    
                    
                ","Dec 30, 2020",0,"
                        Unfunny, no edge and no sense of fun. Sacha Cohen. Your time is up be thinks
                    "
"
                    
                    
                ","Dec 30, 2020",0,"
                        Better than expected. Funny with more plot than most studio movies, though still can't top the original.
                    "
"
                    
                    
                ","Dec 30, 2020",0,"
                        The first part of this movie had some funny parts. Then the 2nd half dragged on & really got old.
                    "
"
                    
                    
                ","Dec 29, 2020",0,"
                        Another sequel which falls short in the shadow of its brilliant predecessor
                    "
"
                    
                    
                ","Dec 29, 2020",0,"
                        It's entertaining but the storyline is mostly expected. Surprised by the access to the White House 😂
                    "
"
                    
                    
                ","Dec 29, 2020",0,"
                        You know what you're going to get. If you liked the first one, then you'll like this one. I didn't like the first one, and have no idea why I watched this one.
                    "
"
                    
                    
                ","Dec 29, 2020",0,"
                        My most favorite Borat movie so far!
                    "
"
                    
                        
                            
                                Matt C
                            
                        
                    
                    
                ","Dec 29, 2020",0,"
                        Bad and distasteful.  Didn't make it through the whole movie, it was that bad.
                    "
"
                    
                    
                ","Dec 29, 2020",0,"
                        It was just OK. Not as brilliant as the first one.

There are a few great moments but the pacing is slow here and not as good as the original.
                    "
"
                    
                    
                ","Dec 29, 2020",0,"
                        First movie was hilarious. This is political garbage.
                    "
"
                    
                    
                ","Dec 29, 2020",0,"
                        Very Nice!
:-)
:-)
:-)
                    "
"
                    
                    
                ","Dec 29, 2020",0,"
                        Not as good as first. Too story based.
                    "
"
                    
                    
                ","Dec 28, 2020",0,"
                        was good movie showing the ignorance of Americans to the world.
                    "
"
                    
                    
                ","Dec 28, 2020",0,"
                        My favorite move of the year. In fact, my favorite in quite some time.
                    "
"
                    
                    
                ","Dec 28, 2020",0,"
                        Lacks the originality of the first film. Seems like it was rushed.
                    "
"
                    
                        
                            
                                Alex G
                            
                        
                    
                    
                ","Dec 22, 2020",0,"
                        What happened to borat complete garbage
                    "
"
                    
                        
                            
                                Landon J
                            
                        
                    
                    
                ","Dec 20, 2020",0,"
                        He thought of little new in his simplistic style- make situations with strangers sexual and/or creepy and extremely awkward(as well as keep on insulting and mocking Kazakhstan culture and its people with exaggerations and outright ignorant misinformation ).  Which gets old fast and incredibly dumb. Lots of pretty ballsy non-scripted pranks he goes into with the actual Rep. party and supporters that takes guts. But as usual,  next to no real life pranks or pokes on Dems or the party are seen in the film. I could care less about either but Sacha Baron Cohen bias does show pretty clearly. Some events are clearly scripted and previously planned and the ""victims"" are in on it, which does take away much of the fun . But some are mostly pure if not fully. Others are moronic and disturbing like the dance exposing period blood soaked panties, which i shook my head at rather than laugh.   A lot of video editing is done clearly to much of the public footage at points to make things different than they appear ( like in the Rudy G one and others ). Humour was hit or miss throughout for me. Its just a silly movie that is partially scripted in many of its pranks. Far away from the sucess of the 1st one. Nothing legendary nor impactful here folks just a similiar production designed with ""shock"" value .
                    "
"
                    
                        
                            
                                philip h
                            
                        
                    
                    
                ","Dec 16, 2020",0,"
                        Lost his mojo. This movie is shadow of first 'Borat' movie.
                    "
"
                    
                    
                ","Dec 11, 2020",0,"
                        Just like the original, this film is very funny, great, and this one is even more crude than the first. Actress Maria Bakalova did a great job as Borat's daughter. A must see.
                    "
"
                    
                    
                ","Nov 30, 2020",0,"
                        Timely. So uncomfortable. It set out to do what it wanted: be a weird mirror to American insanity. But did I enjoy it? Sometimes I guess. But mostly it's just like ""Oh god please make it stop"".
                    "
"
                    
                        
                            
                                Brian G
                            
                        
                    
                    
                ","Nov 29, 2020",0,"
                        Cohen was a pretty funny guy when I was in my 20's and high..... Man, that was some good weed.
                    "
"
                    
                    
                ","Nov 28, 2020",0,"
                        Outrageous! Lots of political satire. Over the top.
                    "
"
                    
                        
                            
                                ryan s
                            
                        
                    
                    
                ","Nov 28, 2020",0,"
                        4/5.  Not as good as the first, but still really funny.
                    "
"
                    
                    
                ","Nov 27, 2020",0,"
                        Zero Borat. Sacha leaves comedy, enters political sandpit.
                    "
"
                    
                    
                ","Nov 27, 2020",0,"
                        I've waited for another Borat movie for so long. This movie was hilarious and nearly as good as the first one. Just wish the distance in between movies wasn't so long. If you like the first Borat you will like this one too, if you hated the first one you will probably hate this one too.
                    "
"
                    
                    
                ","Nov 26, 2020",0,"
                        It doesn't have the guffaws that the first gave me, but Borat Subsequent Moviefilm is a satisfying subsequent moviefilm for fans of the first moviefilm with Sacha Baron Cohen showing he's still a comedic virtuoso and it still has the offensive but hilarious social satire that the first moviefilm had.
                    "
"
                    
                    
                ","Nov 26, 2020",0,"
                        this film has its moments - especially the scenes with juliani but it's other wise kind of tired. these jokes were brilliant first time around but they're exactly the same jokes as before but in lamer contexts and so waaay worse than seeing them in the original borat. maybe worth watching if you're on the laptop with no desire to do much of anything but that's about it really. a solid meh.
                    "
"
                    
                        
                            
                                david f
                            
                        
                    
                    
                ","Nov 25, 2020",0,"
                        Very funny but maybe not as good as the original.
                    "
"
                    
                    
                ","Nov 25, 2020",0,"
                        Sacha Baron Cohen (Borat) does it again with Borat 2. From the title to the last second, this movie is filled with comedic gold. The first Borat film came out in 2006, 14 years ago from the time of this review, and what a time to receive this follow up. Sacha passes the flame to himself in this sequel and perfectly pulls off the role that made him a household name. This film brings Borat further character development, especially with the introduction of his daughter, and tackles some of Americas biggest political problems. Filled with ignorant rednecks and corrupt politicians, if you enjoyed Borat the first time around, you'll definitely enjoy this one, maybe even more... 5/5 stars. 

P.S. the twist at the end is spectacular.
                    "
"
                    
                    
                ","Nov 25, 2020",0,"
                        Not even close to being coherent and far from being as funny as the first one. For a non-American some of the scenes look staged as one with no experience within that culture can never accept people over there are indeed that ridiculous and stupid. Still, deserves credit for the solid acting and bravery.
                    "
"
                    
                        
                            abby bear
                        
                    
                    
                ","Nov 25, 2020",0,"
                        Same old antics...not sure if we needed a second borat movie. Nothing  new here
                    "
"
                    
                    
                ","Nov 25, 2020",0,"
                        Politically-correct, crude humor with a definite left slant.
                    "
"
                    
                        
                            
                                john s
                            
                        
                    
                    
                ","Nov 24, 2020",0,"
                        CAGEY DAUGHTER

Fourteen years on, the return of Borat seems a bit odd if not redundant. What could possibly be left on the U.S. Barbie to skewer after four years of this mind numbing, reality altering, apocalyptic shit show? Flush.

And yet here he is, and here we are. Never underestimate Sacha Baron Cohen. Too recognizable to punk, Borat slips into absurd disguises to go about his sneaky business, and it is deviously glorious. Easy pickings, true, the far right remains a gullible, silly, scary and incomprehensible lot, but we, the converted being preached to, know all that. Fox News exists damn it! Much like an engrossing nature program revealing odd secrets of an exotic species, ""Borat Subsequent Moviefilm"" is an eye popping, enlightening, voyeuristic peep show, without the David Attenborough narrative.

The greatest subversion Borat achieves is not the fish in the barrel Republican dupes, but the full freaking' frontal assault on outdated gender values revealed through his cagey daughter's adventures. The thrilling dread of the Fertility Dance at a debutante ball is cringeworthy gold and the look away, can't look, gotta look, centrepiece of the film. You know what is coming. You will be scared. You will hide your eyes. You will groan. You will gasp. You will laugh. You will shudder. It will be seared into movie memory.

Much like the original, the sequel dives into waters few dare wade, amassing a series of skit style episodes exposing a bizarre American underbelly, scary and funny in equal overdoses. What this film adds to the table is an actual story line: a sweet relationship of discovery between a father and his female born son, and most importantly, her spirited dismantling of rigid patriarchal values. Maria Bakalova as Tutar steals the show, in a startlingly realistic, brave and earnest portrayal beside the clownish Borat.

So a movie that puts women in cages is actually a feminist manifesto? Um, yup. Also, capturing Rudy Giuliani fiddling with his junk is a Hollywood Oscar moment of grand infamy.

Excite!

- hipCRANK
                    "
"
                    
                    
                ","Nov 24, 2020",0,"
                        4 out of 5 stars. Borat Subsequent Moviefilm is another satirical mockumentary that brings back Borat who travels to America with his daughter Tatur ( Maria Bakalova) to give her to Mike Pence as a gift. Sure the plot crosses a lot of controversy and very raunchy with racist jokes. Sexist. And so much more. If you love raunchy dirty jokes. This film is filled with a lot of it. The cast is great. Sasha Baron Cohen is entertaining as Borat. Maria Bakalova is a fun addition.
                    "
"
                    
                    
                ","Nov 24, 2020",0,"
                        As a stand alone movie it was ok at best. With the fact that it is a sequel it dies on the vine compared to the first one.
                    "
"
                    
                    
                ","Nov 24, 2020",0,"
                        A sequel wasn't really necessary, and this no longer has the shock factor that the original had back in 2006.
                    "
"
                    
                    
                ","Nov 23, 2020",0,"
                        Its funny if you like SBC comedy. Its plain and simple. He now takes on the right side of politics in the US. I do agree it went a bit long and that the jokes don't fully jump out as surprising as they once did simply due to me not being surprised by stupidity anymore. Still a good laugh.
                    "
"
                    
                    
                ","Nov 22, 2020",0,"
                        Nice movie, NOT!

Maybe Borat 2 should be classified as horror. It was an absolute kill of time with nothing consequential to think about. The movie didn't want to be recognised with its predecessor that it came in a disguise of a satire.  NOT!
                    "
"
                    
                    
                ","Nov 22, 2020",0,"
                        Whack. Not as good as the first. Meh concept, worse execution.
                    "
"
                    
                        
                            
                                ra b
                            
                        
                    
                    
                ","Nov 22, 2020",0,"
                        Truly grotesque film that attempts to generate laughs at the expense of Kazakhs.
                    "
"
                    
                    
                ","Nov 21, 2020",0,"
                        I think I like this one just a bit more than the original. It's a fantastic commentary on America in 2020 and has a lot of really funny scenes. Bakalova certainly steals the show in this as she's fantastic.
                    "
"
                    
                    
                ","Nov 21, 2020",0,"
                        Still holds up but this time with a feminist spin
                    "
"
                    
                    
                ","Nov 21, 2020",0,"
                        Free release on (Democrat backing Amazon) Prime just before elections? Setting up Giuliani in a supposedly compromising situation? Gatecrashing Republican conference?  Portraying working class Americans as racist buffoons?  Only character of substance is black?  Political agenda - no, couldn't be...  Wouldn't it be nice if he could take just one token shot at the other side, but I guess he knows who is buttering his bread.

Besides that it was a cringeworthy film with few genuinely funny moments.  The irony is Cohen and his crew with their base antics, sink below the level of the people they lampoon.
                    "
"
                    
                    
                ","Nov 18, 2020",0,"
                        This was a really good sequel to the first on, this was more character development, Borat with his Daughter. doing a full English review on m channel The Joejoe Show.
                    "
"
                    
                    
                ","Nov 18, 2020",0,"
                        tbh i expected a borat movie to land low on my ratings- although it had some sly 2020 humor, the overall point and result of this film is crappy to the maaax. here and there funny remarks, but wasn't worth my time to even watch it.
                    "
"
                    
                    
                ","Nov 18, 2020",0,"
                        Borat Subsequent Moviefilm
clever and sharp. Borat Subsequent Moviefilm is one bold comedy film done in the best way possible
                    "
"
                    
                    
                ","Nov 18, 2020",0,"
                        Very funny all the way through. A nice step up from the last movie. A++
                    "
"
                    
                    
                ","Nov 17, 2020",0,"
                        Too political - bad taste jokes about gassing gypsies added nothing to the story and dismissed the porrajamos in which Roma and Jewish people suffered.

its #prochoice scenes in the doctors leave a bad taste in the mouth.

The ""book on women"" is a thinly veiled attack on the Koran, which issomething that is not picked up on too much.

I enjoyed the initial film for its siliness. This one has its moments, but its agenda takes from its enjoyability.
                    "
"
                    
                    
                ","Nov 16, 2020",0,"
                        Was expecting better . Really enjoyed the first one . This was trying too hard and not as good I don’t think . Some funny bits here and there . 
                    "
"
                    
                    
                ","Nov 15, 2020",0,"
                        Once you get over the maxium cringe at the start, this Borat sequel gets as hilarious as the original, and continues up all the way to the suprise ending. Both Cohen and Bakalova do an amazing job, very nice!
                    "
"
                    
                    
                ","Nov 15, 2020",0,"
                        The first Borat movie was one for the ages. The one you can watch numerous time. This second one was so politically based, and with over 1.31 million deaths worldwide caused by the pandemic, it's a watch it once and forget about it movie.
                    "
"
                    
                    
                ","Nov 15, 2020",0,"
                        The happiness I felt about a new Borat coming out I CANNOT even describe. This was satirical art at it's finest, I laughed out loud so many times, mainly at smaller details, oh my god. The KKK, the blood, the K. Spacey... The list goes on. I almost feel blessed to be alive at the same time as the genius that is Sacha Baron Cohen tbh.
                    "
"
                    
                    
                ","Nov 15, 2020",0,"
                        The comedy was a bit forced. It’s almost like they were trying too hard to shock the viewer. 
                    "
"
                    
                    
                ","Nov 15, 2020",0,"
                        Woefully lazy and incredibly unfunny sequel to Baron Cohen's first outing as Borat. Quite literally, not a single laugh - which is an achievement of sorts, I suppose. His obsession with punching low and finding any opportunity to get his dick out is beyond tedious. Here he also relishes endless vagina and menstruation sequences. It'd be boring during student rag week, but in a flashy big budget Hollywood vehicle it's toe-curling. Truly dire.
                    "
"
                    
                        
                            
                                Karen B
                            
                        
                    
                    
                ","Nov 14, 2020",0,"
                        Cringe worthy scenes and disappointing storyline. There is so much potentially useful material for this follow up film but it completely missed the mark and was not convincing at all. Just bad.
                    "
"
                    
                    
                ","Nov 14, 2020",0,"
                        It's hard to pull off unique, US-skewering satire in 2020. In 2006, we laughed at the shock of Borat's reveal of the America's soul. Now with Facebook, YouTube, iPhones, countless talk shows & pundit panels, & Donald Trump, it's hard to surprise us. Smartly, BSMF seems aware of this & leans heavier into the narrative, which provides the biggest shock: how sweet the story is! Maria Bakalova is a revelation & basically carries the movie. SIDE NOTE: the dance scene is far more insane than the Giuliani one.
                    "
"
                    
                    
                ","Nov 14, 2020",0,"
                        It had some real out loud laughs. Less real-time pranks, but that didn't matter. Don't go in expecting too much and don't be offended by the preachiness. 3 solid stars out of 5.
                    "
"
                    
                        
                            
                                Sadie T
                            
                        
                    
                    
                ","Nov 13, 2020",0,"
                        This movie exists for the sole purpose of embarrassing the people it portrays. Americans and Kazakhs alike are relentlessly insulted without any comedic alleviation or clarifying theme. Rather than appropriately confront controversial topics, Sacha Baron Cohen chooses to instead widen public divides without so much as a chuckle.
                    "
"
                    
                    
                ","Nov 13, 2020",0,"
                        I normally don't like to leave negative review but this Borat is just garbage. I spent the first 29 minutes watching it should have turned it off after 10. All it did was belittling women. Just distasteful. There are a lot of funny movies that have good plots.
                    "
"
                    
                    
                ","Nov 12, 2020",0,"
                        Sacha Boran Cohen's resurrection of Borat is a timely reminder of the ills of American society that worryingly exist today. It's clever satire and character development makes for a worthwhile watch! Although, the comedic formula of the first film doesn't quite reach the same heights in this instalment -it's makes up in being relevant tapping into modern day issues. Borat? BoRATE highly.
                    "
"
                    
                        
                            
                                avant s
                            
                        
                    
                    
                ","Nov 12, 2020",0,"
                        the best kind of cringe we can expect from Borat.
                    "
"
                    
                    
                ","Nov 12, 2020",0,"
                        Must have a sense of humor to watch this. This movie is uncomfortable and hilarious. Just like the U.S.A. is right now. I needed something like this to cut the tension!
                    "
"
                    
                    
                ","Nov 11, 2020",0,"
                        Mildy funny and not as funny as the original. In addition, the movie seemed more of a cheap shot on President Trump than about Borat's adventure back to the U.S. When watching a comedy movie, I'd rather watch a movie that does not try to lecture me about politics. Not funny.
                    "
"
                    
                    
                ","Nov 11, 2020",0,"
                        “Finally the time had come to deliver my daughter to the vice p*ssy-grabber.” It wasn’t till last week that I actually saw Borat. Those types of movies just never really interested me, but I thought it might be time to see what all the fuss was about. I guess I understand now. It’s funny and all well done I just don’t think it’s as amazing as everyone else does. That being said, this one became necessary for me to see after the first. This must be the year for relevant movies. I’m honestly shocked at how many topics they covered. And they’re all done well. With the addition of Maria Bakalova they could achieve so much more with not only topics but also recognition with acting. When I tell you she could actually go let an Oscar nomination I’m not joking in the slightest. I’m just as surprised as everyone else it. When I saw her name come in the top ten actress contenders I didn’t understand why. But wow! She took her role to a whole new level. As good as Sacha Baron Cohen is as Borat, he’s overshadowed by Bakalova. The first act really had me thinking this was better than the first. Again with the topics the covered, the execution is done so well. Whether it’s a comical or serious situation there’s wonderful recognition to each subject. At the halfway point it seemed they did all they could. The movie slumps down there into just an ok movie. Towards the end of the third act it does pick up but never to the level of greatness that is the first act. This is a pretty straightforward movie. It’s absolutely hilarious and a great time. I don’t have much else to say but I think this is a fun movie and would recommend it to anyone who can handle vulgar humor or just anyone who loves a good comedy. 
                    "
"
                    
                    
                ","Nov 11, 2020",0,"
                        Borat 1 had its moments, but this is absolute trash.
                    "
"
                    
                    
                ","Nov 10, 2020",0,"
                        The first Borat was a masterpiece. This one, ehh, not so much. It was trying way too hard. The first film had a flow from which the humor came organically. This one, always looking for a joke, always looking to offend. It became very heavy after a while.
                    "
"
                    
                    
                ","Nov 10, 2020",0,"
                        Although it drags on a little I find the humor relevant and the actors adept. I especially like the scenes with Borat's daughter, she is very funny.
                    "
"
                    
                    
                ","Nov 10, 2020",0,"
                        Not funny. Just offensive. 
                    "
"
                    
                    
                ","Nov 10, 2020",0,"
                        I was actually looking forward to this one because I liked the first Borat.  The first one was funny and made me laugh. But this sequel (excuse my language) was total garbage and a waste of time. It was distasteful and just not funny at all.
                    "
"
                    
                    
                ","Nov 9, 2020",0,"
                        Surprisingly exceeded all my expectations!

The first movie felt a little too ""stupid"" for me, so I was slightly hesitant to watch the second one but am glad I did. It was satirical, funny, original, entertaining and not TOO ridiculous.

After watching ""The Spy"", my respect for Sacha Baron Cohen skyrocketed because I realized he is an extremely multi-dimensional characters. Everything he does as Borat is legitimate acting and takes skill; he's not just being himself.

Trying to distinguish which parts of the movie were real and which parts were fully owned by actors were an entertaining and difficult exercise. MOST of the scenes were very real, so it's actually astounding the type of footage he was able to get. He caught Rudy Giuliani being okay with accepting sexual favors and got a few Republicans to admit thinking that Democarts are daemons. 

Also, anyone who speaks multiple languages (I know Russian and Hebrew) realizes the second-level meta jokes. Borat speaks a weird mix of Tatar & Hebrew to hist daughter, and his daughter speaks in Bulgarian back to him. Anyone who only knows english would have never figured this out, but it made the whole film so much more ridiculous.
                    "
"
                    
                        
                            
                                nefasto r
                            
                        
                    
                    
                ","Nov 9, 2020",0,"
                        Considerably less funny than the first one, and more or less a copy of it. U.S of A: scarier than ever.
                    "
"
                    
                    
                ","Nov 9, 2020",0,"
                        In the 1st one, the gags are on the overall US&A people. While in the 2nd one, it is understand that the movie come out during the president voting period, there is unavoidable to choose a side to stand with. But it is too obvious this time. Making it a loss of ridiculous.
                    "
"
                    
                    
                ","Nov 9, 2020",0,"
                        It was ok. Definitely not as funny as some might say, and the emotional side of it was kind of..... poorly executed.
                    "
"
                    
                    
                ","Nov 8, 2020",0,"
                        Not nearly as funny as the first. Somewhat disappointing and useless sequel.
                    "
"
                    
                        
                            
                                Emil T
                            
                        
                    
                    
                ","Nov 8, 2020",0,"
                        Perfect movie to celebrate the end of the Trump presidency on a Saturday night...just sayin'...
                    "
"
                    
                    
                ","Nov 8, 2020",0,"
                        É bacana no começo, mas no final vai ficando meio chato..
                    "
"
                    
                        
                            
                                Artyom J
                            
                        
                    
                    
                ","Nov 7, 2020",0,"
                        Very Good! Maybe a little bit worse from part 1, but still good. Нраица!
                    "
"
                    
                    
                ","Nov 6, 2020",0,"
                        Borat 2 is laugh out loud funny, and Maria Bakalova making her first appearance in film as Borat's daughter injects extra warmth, heart, and humor while stealing the show
                    "
"
                    
                        
                            
                                Gianmarco R
                            
                        
                    
                    
                ","Nov 6, 2020",0,"
                        This film is simply brilliant, beautiful and hilarious, I have nothing more to add
                    "
"
                    
                    
                ","Nov 6, 2020",0,"
                        This was so far off the original.  There was zero authenticity in the interviews and no creativity.  I have never seen a bad movie get decent reviews on Rotten Tomatoes.  I loved the original.  I even found catching Rudy good if he was trying to be Chris Hansen he succeeded.  It just was a bad movie.  Maybe 2 funny scenes.  I think people are stretching here.
                    "
"
                    
                    
                ","Nov 6, 2020",0,"
                        This film is crazy and wonderful and couldn't be more timely. It also has a few of the funniest scenes I've ever seen in a movie. Borat understands America better than America does.
                    "
"
                    
                    
                ","Nov 5, 2020",0,"
                        It was OK, I can see what he SBC was trying to do. Just too long, trying to be shocking but did have some funny bits. Real shame was rooting for it to be brilliant.
                    "
"
                    
                    
                ","Nov 5, 2020",0,"
                        Another level of comedy.
                    "
"
                    
                        
                            
                                Ricky M
                            
                        
                    
                    
                ","Nov 5, 2020",0,"
                        If you love the 1st one, you will love this just as much. His gags are so funny and the jokes are set up beautifully. Aside from being funny, it's got a nice story about father-daughter relationship.
                    "
"
                    
                        
                            
                                kyle c
                            
                        
                    
                    
                ","Nov 4, 2020",0,"
                        I think I actually liked this better than the first Borat. Sure, the first one was very original at the time and might have had more of a cultural impact, but this one actually has some heart and a little more of a message. The humor is spot on, as expected, but it's hard not to feel like this movie just came at a very lucky time to be writing satire. The political impact and risk is hard to ignore as it makes the ""fictional"" story bleed into the real world. Sacha Baron Cohen's ability to improvise and stay in character makes this an incredibly entertaining film.
                    "
"
                    
                    
                ","Nov 4, 2020",0,"
                        Sacha Baron Cohen is a dude, playing a dude, disguised as another dude. Here is my review of Borat: Subsequent Moviefilm!

From an American man giving a Nazi salute to politicians having to tweet out in defence of their disgusting actions, Borat is BACK! Though not as funny as the original, this one still has its moments of hilariously cringey and offensive humour. I also ended up liking Borat's daughter, Tutar, more than I thought I would. She holds her own alongside Borat, and it was fun watching their relationship grow. But what this movie does brilliantly is that it takes this sh*t year of 2020 and uses it as a plot device, which makes this movie more relevant than ever.

However, since Borat has become extremely recognizable following the original, Sacha Baron Cohen had to use other disguises to disguise Borat. At which point, it felt less like a Borat movie and more of Sacha Baron Cohen, a dude, playing a dude, disguised as another dude. This movie also focused more on the story and less on the laughs, which would have been better had the story been more original. But at the end of the day, this movie's goal was to make me laugh, and it did that well enough, but not as well as the first.

Score: 7 out of 10
Overall: ""Very nice!""

Recommended for: Fans of Sacha Baron Cohen, fans of father/daughter stories, or fans of discovering the truth behind COVID-19.
                    "
